cond,cruise_max_dz,cruise_rmse_z,ctrl,decel_max_dz,decel_rmse_z,degrade_pct,delay,diverged,dropout,dropout_meas,elapsed,est_pos_rmse,est_vel_rmse,gps_rate,noise_pos,omega_fail,omega_max,rmse_vx,rmse_z
지연 50ms,inf,inf,hybrid,inf,inf,1250.2161619343526,0.05,False,0.0,0.0,240.07715368270874,2.1966319820969833,0.49393500262806234,10.0,0.02,True,85.62625632978174,6.384265893896422,22.043936808745006
지연 100ms,17.41121775048144,5.967735927292863,hybrid,18.513384535950678,4.926501289410837,143.18655138257978,0.1,False,0.0,0.0,211.58518481254578,4.398186749256674,0.7217810210217663,10.0,0.02,True,102.06450205948629,2.8304190818491994,3.9703190663443193
지연 200ms,8.605618706119365,2.6025387729957585,hybrid,2.0455782347465785,0.7226740555797972,8.337701235536318,0.2,False,0.0,0.0,191.8290135860443,8.96514631270528,1.2400473843037851,10.0,0.02,True,80.55491957049315,2.0430885834433377,1.7687460033210385
결측 5%,0.41967768771982605,0.0962228304909599,hybrid,9.819288102820913,3.343861765495933,39.1964514341472,0.0,False,0.05,0.046153846153846156,182.23245811462402,0.0645773350316819,0.03261653137425927,10.0,0.02,True,59.87751160069221,2.822922971243607,2.2725529925667347
결측 10%,1.6458023858151165,0.3541203892167978,hybrid,3.2179918159917733,0.8652064404836384,2.1651973055792424,0.0,False,0.1,0.1,173.1317822933197,0.06443867893683335,0.034330933216737115,10.0,0.02,True,71.25329374988354,1.3508473238256953,1.6679722972880933
결측 20%,17.072838499066144,6.388984241126368,hybrid,3.590386738562124,0.733798815971007,113.27234504704712,0.0,False,0.2,0.2,191.0975465774536,0.06371666051700406,0.040793547845846934,10.0,0.02,True,79.88741823598328,2.926930622948068,3.481932915493088
1.5m+5Hz+100ms,5.054226317811484,1.5977916176424762,hybrid,1.1387431089236344,0.5654618353812535,4.741885720616858,0.1,False,0.0,0.0,176.07065081596375,4.563287105971001,0.5313906887490562,5.0,1.5,True,57.23855762151242,1.5196432133599727,1.7100398996455861
1.5m+5Hz+20%,33.30991965208867,17.369180701086353,hybrid,20.096870680244486,8.37289201795587,475.95474905236176,0.0,False,0.2,0.19384615384615383,254.16898274421692,0.7935790063859588,0.42700715233575187,5.0,1.5,True,78.19788438149266,4.768246653265977,9.403168507935652
최악 복합,26.032953244501176,9.947450180700077,hybrid,6.587853152149201,3.4705963081146884,269.92328858482364,0.2,False,0.2,0.26153846153846155,230.0964596271515,11.86273315723701,3.265369815442228,1.0,3.0,True,69.3604212969154,3.009254384191052,6.039451924471535
참값,0.14566760625584863,0.03438002715881372,hybrid_fb,5.460431704379289,2.1317981321231305,0.0,0.0,False,0.0,0.0,,,,0.0,0.0,False,15.538827572698063,11.928124975797543,2.6755351855180263
RTK 기준,1.3675521516483897,0.3756716333862184,hybrid_fb,4.496715373569728,1.7068993118119993,-8.159964724248933,0.0,False,0.0,0.0,111.71010971069336,0.06392428954165605,0.028698797415816078,10.0,0.02,False,16.515957181091046,12.067097922532312,2.457212458194887
잡음 0.2m,0.6817135401929661,0.22442864338803634,hybrid_fb,5.875237118491711,2.276509344512115,2.4906791073480434,0.0,False,0.0,0.0,100.73872923851013,0.08317341859507396,0.04489063911444898,10.0,0.2,False,16.388072727356835,13.295040597797724,2.7421741813934695
잡음 1.5m,1.5009237806880833,0.4719185517985642,hybrid_fb,6.002144315995608,2.308945792608558,8.726260222219635,0.0,False,0.0,0.0,98.7568027973175,0.4476496169176947,0.21499181975377693,10.0,1.5,False,16.264308330464452,13.533122707213627,2.909009348143376
잡음 3.0m,1.3437452333317736,0.6432282815829445,hybrid_fb,5.471514760763007,2.09739749929494,12.903114247027554,0.0,False,0.0,0.0,93.80131196975708,0.8750652441367119,0.3732144493514271,10.0,3.0,False,16.636382597255505,14.038167993329337,3.020762547224838
20Hz,1.3751736447140743,0.3727654904517715,hybrid_fb,4.5498979258313454,1.7294145876788327,-7.913613624069343,0.0,False,0.0,0.0,111.9395854473114,0.05584916297437169,0.02341256949343148,20.0,0.02,False,16.694287029109923,12.087508354949662,2.463803668560103
5Hz,1.4030887882232363,0.37923004079719336,hybrid_fb,4.521696240641603,1.7207559784741449,-8.33487359871987,0.0,False,0.0,0.0,111.39941167831421,0.0803862916731739,0.037324351814281814,5.0,0.02,False,16.616510852526535,12.058703711492589,2.4525327097158236
1Hz,0.715573856500626,0.27201005443554066,hybrid_fb,6.164897473067313,2.3910782714884413,4.300878647409445,0.0,False,0.0,0.0,97.0637891292572,0.15512277146018624,0.09232310111758539,1.0,0.02,False,16.40612655982107,13.538955730402858,2.7906067070158977
지연 50ms,1.3664852465331094,0.3940930250610773,hybrid_fb,4.461630855644657,1.6803615328674582,-0.02130078863453684,0.05,False,0.0,0.0,111.74328923225403,2.268726204200895,0.26962381836387816,10.0,0.02,False,16.42334358895251,12.017003230380089,2.6749652754233164
지연 100ms,1.4235867757009402,0.43227446771274997,hybrid_fb,4.382020443807747,1.6353554650777904,12.169137032757618,0.1,False,0.0,0.0,111.22830080986023,4.486800403394999,0.5690983337201114,10.0,0.02,False,16.46163717700686,11.978551884632138,3.0011247286033607
지연 200ms,1.4859422534447404,0.5335177481814118,hybrid_fb,4.321780546699166,1.6025940744082592,51.87545866669223,0.2,False,0.0,0.0,111.73673582077026,8.919970908976259,1.324333781081659,10.0,0.02,False,16.572428878279652,12.047516339513786,4.063481334794237
결측 5%,1.390784271990995,0.3808601550224507,hybrid_fb,4.5114836194216394,1.7144192900406814,-8.020095125668464,0.0,False,0.05,0.046153846153846156,111.32622694969177,0.06413681055425563,0.029091030195455926,10.0,0.02,False,16.686516309029283,12.075555968699677,2.4609547185187504
결측 10%,1.364485748181707,0.36144434046013246,hybrid_fb,4.627013901705375,1.7635218062131908,-7.176119640568851,0.0,False,0.1,0.1,111.50132656097412,0.06452597640526254,0.03215147823623423,10.0,0.02,False,16.662601620759713,12.118417269684976,2.483535579579737
결측 20%,1.3921011357221502,0.38165008063372935,hybrid_fb,4.492472828208996,1.7027438469254932,-8.372374830533131,0.0,False,0.2,0.2,112.12464952468872,0.06452344947333985,0.03430245492051523,10.0,0.02,False,16.544823095134234,12.0648509524506,2.451529351063657
1.5m+5Hz+100ms,0.6991213579037137,0.2993199967480278,hybrid_fb,6.582419342544242,2.559255448344599,26.38508276077303,0.1,False,0.0,0.0,94.43355417251587,4.4644004429708115,0.5622699624592788,5.0,1.5,False,16.792566839729847,13.913731351274645,3.3814773585105597
1.5m+5Hz+20%,1.04118394838396,0.3579827349670641,hybrid_fb,6.274486453962076,2.4165505481166107,5.863704835648882,0.0,False,0.2,0.19384615384615383,95.3704731464386,0.7370050308694669,0.33397967585394467,5.0,1.5,False,16.36785404102232,13.71223484879079,2.832420671570734
최악 복합,1.917654798291693,0.9913035630482417,hybrid_fb,4.068130281148797,1.6114601469413872,113.0187599955324,0.2,False,0.2,0.26153846153846155,46.42682099342346,8.2293311329135,1.8015490452339953,1.0,3.0,False,3.9258954040404106,17.540246161440976,5.699391875434667
